Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Industry,Revenue
"Health Plan Data Analyst, Sr",$56K-$97K,3.8,Cook,"Fort Worth, TX",5001 - 10000 ,Nonprofit Organization,Health Care Services & Hospitals,$100 to $500 million 
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",$56K-$97K,3.8,Rubius,"Smithfield, RI",201 - 500 ,Company - Public,Biotech & Pharmaceuticals,$100 to $500 million 
Analytics - Business Assurance Data Analyst,$56K-$97K,4.6,GreatAmerica,"Cedar Rapids, IA",501 - 1000 ,Company - Private,Lending,$100 to $500 million 
Data Scientist - Contract,$79K-$106K,4.1,Upside,Remote,51 - 200 ,Company - Private,Internet,Unknown 
Data Scientist,$79K-$106K,3.4,Spectrum,"Chicago, IL",51 - 200 ,Company - Private,Advertising & Marketing,$10 to $25 million 
Data Scientist,$79K-$106K,4.1,Coverent,"McLean, VA",51 - 200 ,Company - Private,Consulting,$10 to $25 million 
Machine Learning Engineer,$79K-$106K,3.7,Mteq,"Fort Belvoir, VA",501 - 1000 ,Company - Public,Aerospace & Defense,$100 to $500 million 
Data Engineer,$79K-$106K,4.4,Rocket,"San Francisco, CA",51 - 200 ,Company - Private,Computer Hardware & Software,$50 to $100 million 
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",$79K-$106K,3.9,Novartis,"Cambridge, MA",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10
Data Engineer,$79K-$106K,3.6,Alion,"Linthicum Heights, MD",1001 - 5000 ,Company - Private,Research & Development,$1 to $2 billion 
Data Science Instructor,$79K-$106K,4.5,Novetta,"Herndon, VA",501 - 1000 ,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million 
Senior Business Intelligence Analyst,$79K-$106K,3.7,Protolabs,"Maple Plain, MN",1001 - 5000 ,Company - Public,Miscellaneous Manufacturing,$100 to $500 million 
In-Line Inspection Data Analyst,$79K-$106K,2.9,Quest,"Tulsa, OK",201 - 500 ,Company - Public,Oil & Gas Services,$50 to $100 million 
Data Scientist - TS/SCI FSP or CI Required,$79K-$106K,5.0,Phoenix,"Annapolis Junction, MD",1 - 50 ,Company - Private,IT Services,$1 to $5 million 
Data Scientist,$79K-$106K,3.4,Dice.com,"Newton, MA",201 - 500 ,Subsidiary or Business Segment,Staffing & Outsourcing,$100 to $500 million 
Senior Data Scientist,$79K-$106K,3.5,Maxar,"Herndon, VA",5001 - 10000 ,Company - Public,Aerospace & Defense,$2 to $5 billion 
Data Scientist - TS/SCI Required,$79K-$106K,5.0,Phoenix,"Baltimore, MD",1 - 50 ,Company - Private,IT Services,$1 to $5 million 
Data Science Software Engineer,$79K-$106K,4.8,Klaviyo,"Boston, MA",201 - 500 ,Company - Private,Computer Hardware & Software,Unknown 
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,$79K-$106K,3.9,Southwest,"Oklahoma City, OK",1001 - 5000 ,Nonprofit Organization,Research & Development,$500 million to $1 billion 
AI Ops Data Scientist,$79K-$106K,4.0,AstraZeneca,"Gaithersburg, MD",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10
"Intelligence Data Analyst, Senior",$79K-$106K,4.3,The,"Fort Belvoir, VA",501 - 1000 ,Company - Private,IT Services,$100 to $500 million 
Analytics Manager - Data Mart,$79K-$106K,3.5,Central,"Scotts Valley, CA",501 - 1000 ,Nonprofit Organization,Health Care Services & Hospitals,$500 million to $1 billion 
Data Modeler (Analytical Systems),$79K-$106K,3.7,MassMutual,"Boston, MA",5001 - 10000 ,Company - Private,Insurance Carriers,$10
"Senior Machine Learning Scientist - Bay Area, CA",$79K-$106K,3.3,Tempus,"Redwood City, CA",501 - 1000 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Report Writer-Data Analyst,$79K-$106K,3.1,Security,"Spartanburg, SC",1001 - 5000 ,Company - Private,Lending,Unknown 
Data Scientist/Machine Learning,$71K-$123K,4.3,PulsePoint,"New York, NY",51 - 200 ,Company - Private,Internet,$100 to $500 million 
Data Scientist - Risk,$71K-$123K,4.2,LSQ,"Orlando, FL",51 - 200 ,Company - Private,Investment Banking & Asset Management,$100 to $500 million 
Data Engineer,$71K-$123K,4.4,Resurgent,"Cincinnati, OH",201 - 500 ,Company - Private,Venture Capital & Private Equity,$50 to $100 million 
Staff Data Scientist - Pricing,$71K-$123K,3.6,Opendoor,"San Francisco, CA",501 - 1000 ,Company - Private,Real Estate,$2 to $5 billion 
Data Scientist,$71K-$123K,4.5,Global,"Hartford, CT",51 - 200 ,Company - Private,IT Services,$5 to $10 million 
Data Scientist,$71K-$123K,3.0,Photon,"Chicago, IL",1001 - 5000 ,Company - Private,IT Services,$100 to $500 million 
Data Scientist,$71K-$123K,5.0,REE,United States,51 - 200 ,Company - Private,Transportation Equipment Manufacturing,Unknown 
Machine Learning Engineer,$71K-$123K,3.6,Riverside,"Beavercreek, OH",501 - 1000 ,Nonprofit Organization,Federal Agencies,$50 to $100 million 
Equity Data Insights Analyst - Quantitative Analyst,$71K-$123K,3.6,T.,"Baltimore, MD",5001 - 10000 ,Company - Public,Investment Banking & Asset Management,$2 to $5 billion 
Data Scientist,$71K-$123K,1.0,Encode,"Norfolk, VA",1 - 50 ,Company - Private,IT Services,$5 to $10 million 
Research Scientist - Patient-Centered Research (Remote),$71K-$123K,3.8,Evidera,"Bethesda, MD",501 - 1000 ,Subsidiary or Business Segment,Biotech & Pharmaceuticals,$100 to $500 million 
Data Scientist,$71K-$123K,3.3,BWX,"Oak Ridge, TN",5001 - 10000 ,Company - Public,Aerospace & Defense,$500 million to $1 billion 
Operations Data Analyst,$71K-$123K,3.8,Brighthouse,"Charlotte, NC",1001 - 5000 ,Company - Public,Insurance Carriers,Unknown 
Sr. Data Scientist II,$71K-$123K,3.5,Argo,"New York, NY",1001 - 5000 ,Company - Public,Insurance Carriers,$1 to $2 billion 
Data Scientist,$71K-$123K,3.3,II-VI,"Champaign, IL",10000+ ,Company - Public,Telecommunications Manufacturing,$1 to $2 billion 
Data Scientist,$71K-$123K,4.6,Surya,"San Francisco, CA",1 - 50 ,Company - Private,Computer Hardware & Software,Less than $1 million 
Data Scientist,$71K-$123K,3.8,PayPal,Texas,10000+ ,Company - Public,Internet,$10
Senior Data Analyst,$71K-$123K,3.9,Life360,"San Francisco, CA",51 - 200 ,Company - Public,Internet,Unknown 
Data Scientist,$71K-$123K,3.9,Predictive,"Plano, TX",1 - 50 ,Company - Private,Consulting,Unknown 
Data Scientist,$90K-$124K,4.7,Oversight,"Atlanta, GA",51 - 200 ,Company - Private,Computer Hardware & Software,$25 to $50 million 
Senior Research Statistician- Data Scientist,$90K-$124K,4.8,Acuity,"Sheboygan, WI",1001 - 5000 ,Company - Private,Insurance Carriers,$1 to $2 billion 
Software Data Engineer,$90K-$124K,3.1,1010data,"New York, NY",201 - 500 ,Company - Private,Computer Hardware & Software,$50 to $100 million 
Data Scientist,$90K-$124K,3.6,Gigya,"Palo Alto, CA",201 - 500 ,Company - Private,Enterprise Software & Network Solutions,$10 to $25 million 
Real World Evidence (RWE) Scientist,$90K-$124K,5.0,Genesis,"Hoboken, NJ",1 - 50 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Data Scientist,$90K-$124K,3.7,Sanofi,"Cambridge, MA",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10
Data Scientist,$90K-$124K,3.7,XPO,"Lebanon, IN",10000+ ,Company - Public,Transportation Management,$10
Data Scientist,$90K-$124K,3.9,Trace,"Oakland, CA",51 - 200 ,Company - Private,Insurance Carriers,$10 to $25 million 
Data Scientist,$90K-$124K,4.3,Descript,"San Francisco, CA",1 - 50 ,Company - Private,Not Classified,Less than $1 million 
Computer Scientist 1,$90K-$124K,4.2,Rincon,"Melbourne, FL",201 - 500 ,Company - Private,Aerospace & Defense,$50 to $100 million 
Lead Data Scientist,$90K-$124K,3.7,MassMutual,"Boston, MA",5001 - 10000 ,Company - Private,Insurance Carriers,$10
Data Scientist,$90K-$124K,4.0,Better,"Birmingham, AL",1 - 50 ,Company - Private,Not Classified,Unknown 
Data Scientist,$90K-$124K,3.3,Parker,"Cleveland, OH",10000+ ,Company - Public,Industrial Manufacturing,$10
Data Scientist,$90K-$124K,4.1,Gallup,"New York, NY",1001 - 5000 ,Company - Private,Consulting,Unknown 
Data Scientist,$90K-$124K,3.3,Insider,"New York, NY",201 - 500 ,Company - Private,News Outlet,$50 to $100 million 
Data Scientist,$90K-$124K,3.9,Rapid,"San Francisco, CA",201 - 500 ,Company - Private,IT Services,Unknown 
Environmental Data Science,$90K-$124K,3.1,Battelle,"Norwell, MA",10000+ ,Nonprofit Organization,Research & Development,$5 to $10 billion 
Computational Behavioral Scientist,$90K-$124K,4.2,Ntrepid,"Herndon, VA",201 - 500 ,Company - Private,IT Services,$50 to $100 million 
Data Scientist,$90K-$124K,5.0,The,"New York, NY",,Unknown,Not Classified,Unknown 
Staff BI and Data Engineer,$90K-$124K,2.9,Affinity,"San Jose, CA",51 - 200 ,Company - Private,Advertising & Marketing,Unknown 
Principal Machine Learning Scientist,$90K-$124K,4.7,Sage,"San Francisco, CA",501 - 1000 ,Subsidiary or Business Segment,Computer Hardware & Software,Unknown 
Principal Data Scientist - Machine Learning,$90K-$124K,3.6,Constant,"Waltham, MA",,Subsidiary or Business Segment,Advertising & Marketing,Unknown 
Data Scientist-Human Resources,$91K-$150K,3.8,MIT,"Lexington, MA",1001 - 5000 ,Nonprofit Organization,Aerospace & Defense,Unknown 
Associate Data Scientist,$91K-$150K,3.3,Puget,"Bothell, WA",1001 - 5000 ,Company - Private,Utilities,$2 to $5 billion 
"Data Scientist - Statistics, Mid-Career",$91K-$150K,3.7,Pacific,"Richland, WA",1001 - 5000 ,Government,Energy,$500 million to $1 billion 
Director of Data Science,$91K-$150K,3.8,Analysis,"Boston, MA",1001 - 5000 ,Private Practice / Firm,Consulting,$100 to $500 million 
Data Scientist,$91K-$150K,3.2,US,"Rockville, MD",1001 - 5000 ,Nonprofit Organization,Biotech & Pharmaceuticals,$100 to $500 million 
Data Scientist,$91K-$150K,4.6,Itlize,"Piscataway, NJ",201 - 500 ,Company - Private,IT Services,$10 to $25 million 
Data Scientist,$91K-$150K,3.5,eBay,"San Jose, CA",10000+ ,Company - Public,Internet,$10
"Data Engineer, Digital & Comp Pathology",$91K-$150K,5.0,Paige,"New York, NY",1 - 50 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Data Engineer,$91K-$150K,4.1,Shape,"Santa Clara, CA",51 - 200 ,Company - Private,IT Services,Unknown 
"Manager / Lead, Data Science & Analytics",$91K-$150K,4.1,ABIOMED,"Danvers, MA",1001 - 5000 ,Company - Public,Biotech & Pharmaceuticals,$100 to $500 million 
Data Scientist,$91K-$150K,3.5,Comcast,"New York, NY",10000+ ,Company - Public,Not Classified,$10
Data Scientist,$91K-$150K,3.2,Metronome,"Vienna, VA",51 - 200 ,Company - Private,IT Services,$10 to $25 million 
Data Scientist,$91K-$150K,5.0,SkillSoniq,"San Francisco, CA",,Company - Public,Not Classified,Unknown 
Data Scientist,$91K-$150K,4.7,Lawrence,"Livermore, CA",1001 - 5000 ,Government,Federal Agencies,$1 to $2 billion 
Diversity and Inclusion Data Analyst,$91K-$150K,3.8,FHLBank,"Pittsburgh, PA",201 - 500 ,Company - Private,Banks & Credit Unions,$1 to $2 billion 
Data Scientist,$91K-$150K,3.6,Jacobs,"Herndon, VA",10000+ ,Company - Public,Architectural & Engineering Services,$10
Data Scientist,$91K-$150K,4.8,Klaviyo,"Boston, MA",201 - 500 ,Company - Private,Computer Hardware & Software,Unknown 
Data Scientist,$91K-$150K,3.3,Underwriters,"Northbrook, IL",10000+ ,Company - Private,Consulting,$2 to $5 billion 
Data Scientist,$91K-$150K,3.7,Altus,"Irvine, CA",1001 - 5000 ,Company - Public,Real Estate,$100 to $500 million 
Data Scientist,$91K-$150K,5.0,Jobot,"Irvine, CA",51 - 200 ,Company - Private,Staffing & Outsourcing,$25 to $50 million 
Data Scientist,$91K-$150K,1.0,Trovetechs,"San Francisco, CA",,Company - Private,Not Classified,Unknown 
Senior Analyst/Data Scientist,$141K-$225K,3.4,Edmunds.com,"Santa Monica, CA",501 - 1000 ,Company - Private,Internet,$100 to $500 million 
Data Scientist,$141K-$225K,5.0,Cohere,"Boston, MA",1 - 50 ,Company - Private,IT Services,Unknown 
Data Scientist,$141K-$225K,1.0,Trovetechs,"San Francisco, CA",,Company - Private,Not Classified,Unknown 
Senior Data Scientist - R&D Oncology,$141K-$225K,4.0,AstraZeneca,"New York, NY",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10
Data Scientist,$141K-$225K,4.2,Oshkosh,"Oshkosh, WI",10000+ ,Company - Public,Transportation Equipment Manufacturing,$5 to $10 billion 
Data Scientist,$141K-$225K,4.3,Joby,"San Carlos, CA",51 - 200 ,Company - Private,Not Classified,Unknown 
Data Scientist,$141K-$225K,3.4,Mackin,"Menlo Park, CA",51 - 200 ,Company - Private,Architectural & Engineering Services,$10 to $25 million 
Data Scientist,$141K-$225K,1.0,PETADATA,"San Francisco, CA",51 - 200 ,Company - Private,Not Classified,Unknown 
Data Scientist,$141K-$225K,4.4,VBeyond,"Dallas, TX",201 - 500 ,Company - Private,Staffing & Outsourcing,$5 to $10 million 
Data Scientist Machine Learning,$141K-$225K,3.5,Leidos,"Arlington, VA",10000+ ,Company - Public,Aerospace & Defense,$10
Data Scientist,$141K-$225K,3.7,Take-Two,"San Francisco, CA",1001 - 5000 ,Company - Public,Video Games,$1 to $2 billion 
Data Scientist,$141K-$225K,3.7,Colony,"Monroe, WI",501 - 1000 ,Company - Private,Food & Beverage Stores,$100 to $500 million 
Data Scientist,$141K-$225K,4.1,Capio,"Sacramento, CA",10000+ ,Hospital,Health Care Services & Hospitals,Unknown 
Data Scientist,$141K-$225K,3.4,SleePare,"New York, NY",1 - 50 ,Company - Private,Other Retail Stores,Unknown 
Data Analyst,$141K-$225K,4.5,ShorePoint,"Reston, VA",1 - 50 ,Company - Private,IT Services,Unknown 
Data Scientist,$141K-$225K,3.5,Dolphin,"New York, NY",1001 - 5000 ,Company - Private,"Hotels, Motels, & Resorts",Unknown 
Data Scientist,$141K-$225K,3.6,TE,"Hampton, VA",10000+ ,Company - Public,Electrical & Electronic Manufacturing,$10
Data Scientist,$141K-$225K,3.2,State,"Richmond, VA",10000+ ,Government,State & Regional Agencies,$10
Data Scientist,$141K-$225K,3.7,TA,"New York, NY",501 - 1000 ,Company - Private,Computer Hardware & Software,$25 to $50 million 
Data Scientist,$141K-$225K,4.0,Market,"Monterey, CA",501 - 1000 ,Company - Private,Other Retail Stores,$100 to $500 million 
Data Scientist,$145K-$225K,3.2,Triplebyte,"Chicago, IL",51 - 200 ,Company - Private,Computer Hardware & Software,Unknown 
Data Scientist,$145K-$225K,4.5,Kingfisher,"McLean, VA",51 - 200 ,Company - Private,Federal Agencies,$25 to $50 million 
Chief Scientist,$145K-$225K,3.4,TrueAccord,Remote,51 - 200 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Data Scientist,$145K-$225K,3.9,ALTA,"Woodlawn, MD",201 - 500 ,Company - Private,IT Services,$10 to $25 million 
Data Scientist,$145K-$225K,3.2,Kollasoft,United States,1 - 50 ,Company - Private,IT Services,$1 to $5 million 
Data Scientist,$145K-$225K,5.0,Kollasoft,"New York, NY",,Company - Public,Not Classified,Unknown 
Data Scientist,$145K-$225K,3.4,ASRC,"Reston, VA",5001 - 10000 ,Company - Private,Aerospace & Defense,$500 million to $1 billion 
Data Scientist,$145K-$225K,4.4,Adwait,"New York, NY",51 - 200 ,Company - Private,IT Services,Unknown 
"Health Plan Data Analyst, Sr",$145K-$225K,3.8,Cook,"Fort Worth, TX",5001 - 10000 ,Nonprofit Organization,Health Care Services & Hospitals,$100 to $500 million 
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",$145K-$225K,3.8,Rubius,"Smithfield, RI",201 - 500 ,Company - Public,Biotech & Pharmaceuticals,$100 to $500 million 
Data Scientist,$145K-$225K,3.5,Cambridge,"Atlanta, GA",201 - 500 ,Company - Public,Financial Transaction Processing,$100 to $500 million 
Senior Data Scientist,$145K-$225K,3.8,Metromile,"San Francisco, CA",201 - 500 ,Company - Private,Insurance Carriers,Unknown 
Data Scientist,$145K-$225K,3.9,Criteo,"Ann Arbor, MI",1001 - 5000 ,Company - Public,Internet,$2 to $5 billion 
Data Scientist,$145K-$225K,3.4,Advance,"Pittsburgh, PA",51 - 200 ,Company - Private,Not Classified,$1 to $5 million 
Data Scientist,$145K-$225K,3.8,Enterprise,"New York, NY",51 - 200 ,Company - Private,Staffing & Outsourcing,$25 to $50 million 
Analytics - Business Assurance Data Analyst,$145K-$225K,4.6,GreatAmerica,"Cedar Rapids, IA",501 - 1000 ,Company - Private,Lending,$100 to $500 million 
Data Scientist,$145K-$225K,1.0,Microagility,"New York, NY",1 - 50 ,Company - Private,Consulting,$1 to $5 million 
Data Scientist,$145K-$225K,4.6,Conch,"Concord, CA",51 - 200 ,Company - Private,Consulting,$5 to $10 million 
"Development Scientist, Voltaren",$145K-$225K,3.9,GSK,"Richmond, VA",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10
Data Scientist,$145K-$225K,1.0,Rainmaker,"Cincinnati, OH",1 - 50 ,Company - Private,Not Classified,Unknown 
Data Scientist,$79K-$147K,3.7,GovTech,"San Francisco, CA",1001 - 5000 ,Government,Federal Agencies,Unknown 
Data Scientist,$79K-$147K,3.3,Intellectual,"Bellevue, WA",501 - 1000 ,Company - Private,Investment Banking & Asset Management,Unknown 
Data Engineer,$79K-$147K,4.4,Rocket,"San Francisco, CA",51 - 200 ,Company - Private,Computer Hardware & Software,$50 to $100 million 
Data Scientist,$79K-$147K,3.7,22nd,"Oakland, CA",1001 - 5000 ,Company - Private,IT Services,$25 to $50 million 
Data Scientist,$79K-$147K,3.3,Huxley,"San Francisco, CA",201 - 500 ,Company - Private,Staffing & Outsourcing,$25 to $50 million 
Data Scientist,$79K-$147K,3.4,FM,"Boston, MA",51 - 200 ,Company - Private,Computer Hardware & Software,$5 to $10 million 
Data Scientist,$79K-$147K,1.0,B4Corp,"Reston, VA",51 - 200 ,Company - Private,IT Services,Unknown 
Machine Learning Engineer,$79K-$147K,3.7,Mteq,"Fort Belvoir, VA",501 - 1000 ,Company - Public,Aerospace & Defense,$100 to $500 million 
Principal Data & Analytics Platform Engineer,$79K-$147K,3.7,Blue,"Durham, NC",1001 - 5000 ,Company - Private,Insurance Carriers,$5 to $10 billion 
Machine Learning Engineer/Scientist,$79K-$147K,4.8,Jane,"New York, NY",501 - 1000 ,Company - Private,Investment Banking & Asset Management,Unknown 
Data Scientist,$79K-$147K,5.0,SSATI,"McLean, VA",1 - 50 ,Company - Private,Computer Hardware & Software,$10 to $25 million 
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",$79K-$147K,3.9,Novartis,"Cambridge, MA",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10
Data Scientist,$79K-$147K,3.4,Solving,"Chicago, IL",501 - 1000 ,Company - Private,Not Classified,Unknown 
Data Scientist,$79K-$147K,3.3,The,"Kent, OH",10000+ ,Self-employed,Timber Operations,$1 to $2 billion 
Data Scientist,$79K-$147K,4.6,Centauri,"Reston, VA",501 - 1000 ,Company - Private,Aerospace & Defense,$100 to $500 million 
Data Scientist,$79K-$147K,1.0,Stride,"San Francisco, CA",1 - 50 ,Company - Private,Not Classified,Less than $1 million 
Machine Learning Engineer,$79K-$147K,2.6,Software,"Pittsburgh, PA",501 - 1000 ,College / University,Colleges & Universities,Unknown 
Data Analyst - Unilever Prestige,$79K-$147K,3.8,Dermalogica,"Carson, CA",201 - 500 ,Subsidiary or Business Segment,Consumer Products Manufacturing,$100 to $500 million 
Data Scientist,$79K-$147K,4.8,TechProjects,"New York, NY",1 - 50 ,Company - Private,IT Services,Unknown 
"VP, Data Science",$79K-$147K,3.9,7Park,"New York, NY",51 - 200 ,Company - Private,Research & Development,Unknown 
Data Scientist,$122K-$146K,4.0,Netskope,"Santa Clara, CA",501 - 1000 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Data Scientist,$122K-$146K,4.2,Eversight,"Palo Alto, CA",51 - 200 ,Company - Private,Enterprise Software & Network Solutions,$10 to $25 million 
Senior Business Intelligence Analyst,$122K-$146K,3.7,Protolabs,"Maple Plain, MN",1001 - 5000 ,Company - Public,Miscellaneous Manufacturing,$100 to $500 million 
Data Scientist,$122K-$146K,3.0,Ameritas,"Cincinnati, OH",1001 - 5000 ,Company - Private,Insurance Agencies & Brokerages,$2 to $5 billion 
Data Engineer - Kafka,$122K-$146K,3.5,Western,"San Jose, CA",10000+ ,Company - Public,Computer Hardware & Software,$10
Data Scientist,$122K-$146K,2.9,Shimento,"Santa Clara, CA",1 - 50 ,Company - Private,Not Classified,$1 to $5 million 
Data Scientist,$122K-$146K,5.0,Averity,"New York, NY",1 - 50 ,Company - Private,Staffing & Outsourcing,Unknown 
Data Scientist,$122K-$146K,4.7,Praxis,"Chantilly, VA",201 - 500 ,Subsidiary or Business Segment,Computer Hardware & Software,$100 to $500 million 
Data Scientist,$122K-$146K,1.0,Point72,"Palo Alto, CA",Not Classified,Not Classified,Not Classified,Not Classified
Decision Scientist,$122K-$146K,4.5,Johns,"Laurel, MD",5001 - 10000 ,Nonprofit Organization,Aerospace & Defense,$1 to $2 billion 
Data Scientist,$122K-$146K,4.9,Cambridge,"Cambridge, MA",1 - 50 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Data Science All Star Program - Data Engineer Track,$122K-$146K,4.6,Blend360,"Columbia, MD",51 - 200 ,Company - Private,Consulting,Unknown 
Data Scientist - TS/SCI FSP or CI Required,$122K-$146K,5.0,Phoenix,"Annapolis Junction, MD",1 - 50 ,Company - Private,IT Services,$1 to $5 million 
Data Analyst,$122K-$146K,3.9,Nolij,"Falls Church, VA",51 - 200 ,Company - Public,Consulting,$1 to $5 million 
Data Scientist,$122K-$146K,1.0,Hatch,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$122K-$146K,1.0,Hatch,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$122K-$146K,1.0,Hatch,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$122K-$146K,1.0,Hatch,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$122K-$146K,1.0,Hatch,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$122K-$146K,1.0,Hatch,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
Senior Data Scientist,$122K-$146K,3.5,Maxar,"Herndon, VA",5001 - 10000 ,Company - Public,Aerospace & Defense,$2 to $5 billion 
Data Scientist,$112K-$116K,4.3,Quick,"Cambridge, MA",201 - 500 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Data Scientist,$112K-$116K,3.7,Takeda,"Cambridge, MA",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10
Data Scientist,$112K-$116K,3.5,Maxar,"Herndon, VA",5001 - 10000 ,Company - Public,Aerospace & Defense,$2 to $5 billion 
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,$112K-$116K,3.9,Southwest,"Oklahoma City, OK",1001 - 5000 ,Nonprofit Organization,Research & Development,$500 million to $1 billion 
Data Scientist,$112K-$116K,4.7,Compass,"Thousand Oaks, CA",51 - 200 ,Company - Private,Consulting,Unknown 
Data Science Software Engineer,$112K-$116K,4.8,Klaviyo,"Boston, MA",201 - 500 ,Company - Private,Computer Hardware & Software,Unknown 
AI Ops Data Scientist,$112K-$116K,4.0,AstraZeneca,"Gaithersburg, MD",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10
Data Scientist,$112K-$116K,4.4,SolutionIT,"Edison, NJ",51 - 200 ,Company - Private,Not Classified,Unknown 
Data Scientist,$112K-$116K,3.2,Perspecta,"Adelphi, MD",10000+ ,Company - Public,Aerospace & Defense,Unknown 
Data Scientist,$112K-$116K,4.5,Smith,"Washington, DC",1 - 50 ,Company - Private,Staffing & Outsourcing,Unknown 
Scientist - Machine Learning,$112K-$116K,3.5,Allen,"Seattle, WA",201 - 500 ,Nonprofit Organization,Research & Development,$100 to $500 million 
Data Scientist,$112K-$116K,4.4,Eliassen,"Plano, TX",1001 - 5000 ,Company - Private,Staffing & Outsourcing,$100 to $500 million 
Data Scientist,$112K-$116K,3.1,Bayside,"Sunnyvale, CA",1 - 50 ,Company - Private,Staffing & Outsourcing,$1 to $5 million 
Sr. Data Scientist,$112K-$116K,3.5,Evolve,"Denver, CO",201 - 500 ,Company - Private,Travel Agencies,Unknown 
Data Scientist,$112K-$116K,3.8,AgreeYa,"Thousand Oaks, CA",1001 - 5000 ,Company - Private,IT Services,$50 to $100 million 
Data Scientist,$112K-$116K,3.7,Carolina,"McLean, VA",5001 - 10000 ,Subsidiary or Business Segment,Energy,Unknown 
Analytics Manager - Data Mart,$112K-$116K,3.5,Central,"Scotts Valley, CA",501 - 1000 ,Nonprofit Organization,Health Care Services & Hospitals,$500 million to $1 billion 
Data Modeler (Analytical Systems),$112K-$116K,3.7,MassMutual,"Boston, MA",5001 - 10000 ,Company - Private,Insurance Carriers,$10
Applied AI Scientist / Engineer,$112K-$116K,5.0,New,"Boston, MA",1 - 50 ,Contract,Computer Hardware & Software,Unknown 
"Data Engineer (Analytics, SQL, Python, AWS)",$112K-$116K,4.0,Travelers,"Hartford, CT",10000+ ,Company - Public,Insurance Carriers,$10
Senior Data Analyst - Finance & Platform Analytics,$112K-$116K,3.6,Twitch,"San Francisco, CA",1001 - 5000 ,Subsidiary or Business Segment,Internet,Unknown 
Senior Data Scientist,$110K-$163K,4.8,Klaviyo,"Boston, MA",201 - 500 ,Company - Private,Computer Hardware & Software,Unknown 
Market Research Data Scientist,$110K-$163K,3.8,GutCheck,"Denver, CO",51 - 200 ,Company - Private,Advertising & Marketing,$10 to $25 million 
IT Partner Digital Health Technology and Data Science,$110K-$163K,3.6,Biogen,"Cambridge, MA",5001 - 10000 ,Company - Public,Biotech & Pharmaceuticals,$10
Data Scientist,$110K-$163K,1.0,HireAi,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$110K-$163K,1.0,HireAi,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
"Senior Machine Learning Scientist - Bay Area, CA",$110K-$163K,3.3,Tempus,"Redwood City, CA",501 - 1000 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
"Software Engineer (Data Scientist, C,C++,Linux,Unix) - SISW - MG",$110K-$163K,4.1,Mentor,"Fremont, CA",5001 - 10000 ,Company - Public,Computer Hardware & Software,$1 to $2 billion 
Senior Clinical Data Scientist Programmer,$110K-$163K,3.6,WCG,"Hamilton, NJ",1001 - 5000 ,Company - Private,Biotech & Pharmaceuticals,$100 to $500 million 
Data Engineer,$110K-$163K,4.5,Kingfisher,"Falls Church, VA",51 - 200 ,Company - Private,Federal Agencies,$25 to $50 million 
Computer Vision / Deep Learning Scientist,$110K-$163K,3.3,Tempus,"Chicago, IL",501 - 1000 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Data Solutions Engineer - Data Modeler,$110K-$163K,3.4,Liberty,"Indianapolis, IN",10000+ ,Company - Private,Insurance Carriers,$10
Data Scientist,$110K-$163K,4.3,Visionary,"Washington, DC",501 - 1000 ,Company - Private,IT Services,$100 to $500 million 
